date,product_id,product_name,quantity,price,discount
2023-01-15,P001,Wireless Headphones,5,99.99,0.10
2023-01-18,P002,Smart Watch,3,199.99,0.15
2023-01-20,P003,Bluetooth Speaker,7,59.99,0.05
2023-01-22,P001,Wireless Headphones,4,99.99,0.00
2023-01-25,P004,Phone Case,12,24.99,0.20
2023-01-28,P002,Smart Watch,2,199.99,0.10
2023-02-05,P003,Bluetooth Speaker,5,59.99,0.10
2023-02-10,P005,Tablet Stand,8,34.99,0.00
2023-02-15,P001,Wireless Headphones,6,99.99,0.15
2023-02-18,P004,Phone Case,10,24.99,0.25
2023-02-22,P002,Smart Watch,4,199.99,0.20
2023-02-25,P003,Bluetooth Speaker,3,59.99,0.00
2023-03-03,P005,Tablet Stand,6,34.99,0.10
2023-03-08,P001,Wireless Headphones,7,99.99,0.05
2023-03-12,P004,Phone Case,15,24.99,0.15
2023-03-18,P002,Smart Watch,5,199.99,0.10
2023-03-22,P003,Bluetooth Speaker,4,59.99,0.10
2023-03-25,P005,Tablet Stand,9,34.99,0.20
2023-04-02,P001,Wireless Headphones,8,99.99,0.20
2023-04-07,P004,Phone Case,18,24.99,0.30
2023-04-12,P002,Smart Watch,6,199.99,0.15
2023-04-16,P003,Bluetooth Speaker,5,59.99,0.15
2023-04-20,P005,Tablet Stand,7,34.99,0.10
2023-04-25,P001,Wireless Headphones,9,99.99,0.10
2023-05-03,P004,Phone Case,20,24.99,0.25
2023-05-08,P002,Smart Watch,7,199.99,0.25
2023-05-12,P003,Bluetooth Speaker,6,59.99,0.05
2023-05-18,P005,Tablet Stand,8,34.99,0.15
2023-05-22,P001,Wireless Headphones,10,99.99,0.15
2023-05-26,P004,Phone Case,22,24.99,0.20
2023-06-03,P002,Smart Watch,8,199.99,0.10
2023-06-08,P003,Bluetooth Speaker,7,59.99,0.20
2023-06-12,P005,Tablet Stand,9,34.99,0.25
2023-06-16,P001,Wireless Headphones,12,99.99,0.25
2023-06-20,P004,Phone Case,25,24.99,0.35
2023-06-25,P002,Smart Watch,9,199.99,0.30
2023-06-28,P003,Bluetooth Speaker,8,59.99,0.10
